Formula,T,Seebeck,s,k,ZT
Tl4PbTe3,673,234.5,9800,0.494,0.718
Cu2.1Se,473,65.9,212200,2.438,0.179
(Cu0.002Pb0.998Te)(MnTe)0.03,723,-198.07,51172,1.28,1.134
Sn0.91Mn0.09Te0.98I0.02,891,213.92,43077,1.481,1.186
Na0.23Co4Sb12,700,-237,61000,2.8,0.7
Zn0.9Cd0.1Sc0.02O1.03,673,-107.6,43000,4.34,0.077
Ge0.58Sb0.22Te0.8(AgSnSe2)0.2,423,178.88,41290,0.74,0.774
Mg0.97Li0.03Ge0.9Si0.1,500,248.99,26000,3.17,0.254
Yb0.40Co4Sb12,300,-120,234700,1.6,0.4
BaBiTe2.95Se0.05,373,-165.7,7322,0.432,0.174
Sn0.91Mn0.09Te,622,112.5,134911,3,0.354
Ba8Ga15.88Zn0.007Sn30.12,380,360,14699,0.912,0.794
Hf0.9Ti0.1CoSb0.8Sn0.2,779,207.4,58582,3.24,0.6
Ge0.98Mn0.01Sb0.01Te,598,106.13,172165,2.61,0.444
YbCd1.9Zn0.1Sb2,550,185.2,43866,1.437,0.576
(SnTe)0.96(CuSbTe2)0.04,722,129.67,122800,2.77,0.538
Ca1.18Yb3.82Al1.84In0.16Sb6,569.4,39.5,28970,2.608,0.01
(Sn0.8Ge0.2)0.94Mn0.06Te,673,107,141100,2.21,0.492
Ca5In2Sb6,422,479.5,974,0.866,0.109
Nb0.85Ta0.15CoSn0.9Sb0.1,924,-171.24,78865,3.964,0.539
In0.005Pb0.995Te0.994I0.006,428,-160.2,72200,1.8,0.441
Cu26V2Ge5SbS32,674,104.6,125900,2.297,0.404
YbCd1.3Zn0.7Sb2,650,165.3,61650,1.172,0.934
CuAgTe0.5Se0.5,397,129.52,8395,0.299,0.187
Tl8.99Bi1.01Te6.0,322,243,8350,0.396,0.401
Mg1.98Li0.02Zn0.98Sb2,300,77.25,100529,1.179,0.153
Er0.03(Bi0.23Sb0.77)1.97Te3,400,234.63,41140,0.868,1.043
Rb2Bi8Se12.9909Cl0.0091,625,-200.75,6471,0.521,0.313
Ge0.55Pb0.45Te0.4Se0.6,300,237.5,8088,0.908,0.151
Zn0.875Cd0.125Sc0.02O1.03,300,-73.5,42857,6.75,0.01
Al0.005Sb0.1Ge0.895Te,473,204.01,44578,1.437,0.611
Ba0.07Co4Sb11.88,300,-139,103200,5.8,0.1
FeNb0.9Zr0.1Sb,600,176,193798,8.729,0.413
Ag(Bi0.9Nb0.1)0.7Sb0.3Se2,526,-274,2754,0.561,0.194
Cu2Se0.96I0.04,425,121,39380,0.79,0.31
Mg3.5Gd0.035Sb2,500,-234.6,17972,0.927,0.533
Al0.005Sb0.1Ge0.895Te,773,253.21,54378,1.467,1.793
YbCd1.6Zn0.4Sb2,350,122.22,84470,1.683,0.29
Tl8.95Bi1.05Te6.0,504,80,1054,0.356,0.01
Sn0.965Pb0.01Cd0.025Se,300,314.57,2286,1.016,0.067
Bi0.825Ba0.175CuSeO,522,176.92,16058,0.63,0.539
Ba8.04Cu4.99Si18Ge22.98,514,-167.8,26350,1.36,0.281
Ba1.7Bi0.3CoRuO6,518,29.4,123000,1.3,0.042
Tl8.97Sb1.03Te6,504,200.8,20000,0.463,0.883
Er0.03(Bi0.23Sb0.77)1.97Te3,450,221.42,35526,0.985,0.796
AgCuTe0.8Se0.2,522,178.56,23107,0.493,0.799
Al0.005Sb0.1Ge0.895Te,373,159.3,55261,1.515,0.349
Co0.97Ni0.03GeTe,551,-117.02,72074,4.489,0.121
Mg2Zn0.96Sb2,473,244.74,5695,0.655,0.247
Bi0.98Pb0.02CuSeO,100,79.38,86851,2.637,0.021
BaBiTe3,524,-178.93,9067,0.428,0.356
Cu1.975S0.5Se0.5,673,160,38020,0.9,0.728
BaGd2NiO5,532,463.97,10.08,2.031,0.001
Cu2Se0.88S0.12,372,142.3,36100,0.29,0.938
(Sn0.985In0.015Te)0.95(AgCl)0.05,323,50.95,577528,5.567,0.087
(Sn0.8Ge0.2)0.8Mn0.2Te,673,123.8,102700,1.567,0.673
SnSe,323,357,117,0.88,0.006
GeSe0.8Te0.2,530,27.44,71642,1.728,0.017
Ca0.15BaGd1.85NiO5,811,167.65,332.24,1.779,0.004
GeSe,524,841.25,15.25,1.461,0.004
Cu2.9Ag0.1ErTe3,800,104,50000,0.75,0.577
Ag0.5Sb1.1Pb19.6Te18.8,623,-136,31140,1.4,0.256
Co9S8,89,-4.5,9728543,24.05,0.001
(PbTe)0.05(Ag2Te)0.95,450,-117.3,50213,0.502,0.619
Ge0.95Mn0.05Te,598,124.52,187629,2.791,0.623
FeNb0.9Hf0.1Sb,500,153.4,323200,6.844,0.556
Mg1.98Li0.02Zn0.98Sb2,373,92.06,83598,1.129,0.234
Cu3Sb0.925Ge0.075S4,373,197.7,18700,1.56,0.175
NbCo0.98Ni0.02Sn,804,-177.65,47337,7.25,0.166
Sr0.11Ba0.18Co4Sb12.09,450,-123,309722,4.16,0.507
(CaZn0.4Ag0.2Sb)0.87(LiZnSb)0.13,371,122,44070,0.687,0.354
Eu2ZnSb2,473,317,3027,0.4,0.36
Eu(Zn0.7Cd0.3)2Sb2,550,207.6,36640,1.23,0.706
Mg3.07Sb1.5Bi0.46Se0.04,500,-306.24,9823,0.682,0.675
In3.95Pb0.05Se3,518,-259,10900,0.81,0.468
Cu2.94Ag0.06SbSe4,373,427,5288,1.65,0.218
TlCr5Se8,523,267,5400,0.705,0.286
Se0.15Co4Sb11.7Se0.3,300,-300,7700,2.5,0.1
Sn0.91Mn0.09Te0.99I0.01,720,161.86,91795,2.275,0.761
SnTe0.1AgSbSe2,500,90.38,138255,2.29,0.248
AgCuTe0.9Se0.1,522,195.3,23786,0.375,1.446
Ba0.96K0.04Zn2As2,723,113.7,40506,1.602,0.236
AgBi0.7Sb0.3Se2,676,-305.56,1231,0.329,0.236
Cu3.0SbSe4,298,479,2546,2.75,0.063
In4Se2.67Cl0.03,698,-218.7,26300,0.575,1.533
Ge4Sb2Te7,673,121,78090,1.759,0.438
Sn1.03Se0.08Te0.92,623,91.57,154386,3.44,0.234
Mg2Sn0.98Sb0.02,350,-86.29,460177,7.101,0.169
CsTb2Ag3Te5,298,21.3,244.44,0.534,0
GeSe0.8Te0.2,678,38.51,74254,1.913,0.039
(Ag0.1Sb0.1Sn0.8)(S0.1Se0.1Te0.8),755,146.14,71963,1.432,0.81
Nd2.78Te4,1073,-204.5,23930,0.884,1.2
AgBiSe2,525,484.3,447,0.537,0.102
Pb0.985Zn0.03Te,825,-250,25855,1.119,1.2
Cu11.7Gd0.3Sb4S13,623,117.51,99280,1.463,0.584
Cu2.1Se,672,104.5,131081,2.1,0.458
BaBiTe2.9Se0.1,322,-154.6,4240,0.413,0.079
EuCd2Sb2,600,298.8,8110,0.765,0.568
Ag0.97Cr0.99Bi0.01Se2,303,77.75,22488,0.534,0.077
Cu1.97In0.03Se,770,237.31,20270,0.775,1.141
Cu2Se0.92I0.08,300,144.7,15720,0.474,0.208
Li1.1Co0.85Ni0.15O2,423,183,2.07,2.8,0
Cu2S0.5Se0.5,578,186.26,4158,0.639,0.13
AgSbTe2,391,117.37,33600,0.961,0.188
TiNiSn,526,-145.12,71938,4.054,0.217
Cu5SnSbSe7,723,74.71,206957,3.474,0.24
ZrNiSn0.98Bi0.02,475,-178.5,45700,7.837,0.088
AgBi0.97Pb0.03Se2.12,450,371.43,4864,0.617,0.489
(SnTe)0.94(CuSbTe2)0.06,621,95,159750,3.056,0.293
Cu5SnSbSe6.79,723,76.9,175862,3.164,0.238
CoS2,89,-30,1539044,14.75,0.008
Se0.2Co4Sb11.6Se0.4,600,-324,11400,1.8,0.4
Gd2.79Se4,750,-137,15440,1.255,0.17
CsTb2Ag3Te5,539,173.7,345.2,0.375,0.015
Ca3.46Yb1.35Pr0.19Al2Sb6,323,-119.64,271,1.647,0.001
Cu2SnSe3,623,148.13,12245,1.31,0.128
Ta0.84Ti0.16FeSb,370,118.4,339300,5.168,0.342
Sr0.21Yb0.03Co4Sb12.12,400,-127,287273,3.94,0.47
Sn0.92Ge0.04As0.04Te,769,89.43,233333,3.862,0.592
(Cu3SnS4)0.85(Ga2Te3)0.15,331,78.79,58519,1.78,0.068
ZrNiPb0.99Bi0.01,673,-189.4,129020,6.51,0.478
Zn0.9Cd0.1Sc0.04O1.06,373,-93,44000,6.8,0.021
Ag2.0Se0.5Te0.5,390,-108,61927,0.666,0.423
Mg3.5Ho0.03Sb1.97Te0.03,500,-235.21,21306,0.88,0.67
Ca3Al0.98Zn0.02Sb3,422,200,3150,1.103,0.046
Hf0.7Ti0.3CoSb0.8Sn0.2,305,158.8,55450,2.781,0.153
Cu1.02Fe0.98S2,30,-1174,0,77.16,0
SnSe0.8S0.2,300,198.42,402,1.267,0.004
Sr0.21Co4Sb12.25,500,-162,165455,3.92,0.554
GeTe,823,159,169643,2.96,1.161
Nb0.88Hf0.12FeSb,1200,246.1,82350,2.62,1.45
As2Te2.6Se0.4,473,263.5,2184,0.51,0.141
Cu5Sn2Se7,300,21.3,662800,5.28,0.017
Tl4PbTe3,423,67,39900,0.823,0.088
Li2Ge3Sb2Te7,673,251.33,26111,0.795,1.397
Cr1.99Mn0.01Ge2Te6,614,315.46,3852,0.658,0.358
Sr14.1Ga29.6Ge56.3,774,-160,31185,1.891,0.327
CuMo6Te8,800,23.92,172400,4.165,0.019
LiCo0.96Ni0.04O2,623,926.9,0.65,1.773,0
Nb0.85Ta0.15CoSn0.9Sb0.1,628,-143.24,102837,4.428,0.299
CuGa0.99Mn0.01Te2,718,247.3,25300,1.95,0.57
Nd2.92Te4,373,-31.13,213158,2.699,0.029
Ag2.0Se0.8Te0.2,330,-126.5,96800,0.782,0.654
Ag(Bi0.8Nb0.2)0.7Sb0.3Se2,526,-222,4898,0.598,0.212
Mo3Sb7I,823,55.07,397325,6.52,0.155
La0.2Ca0.8TiO3,740,-132.7,54840,2.958,0.242
Ca5In1.95Zn0.05Sb6,722,214,12860,0.83,0.512
Pb0.985Zn0.03Te,318,-171.2,105000,2.42,0.397
Li0.03Cu1.8Bi0.05Se,711,131,46200,1.01,0.558
Cu5SnSbSe6.79,673,66.67,210345,3.44,0.183
In0.01Pb0.99Te0.994I0.006,533,-195.24,37970,1.49,0.518
Yb13.44Ce0.4Mn1.09Sb11.07,300,44.13,36727,0.75,0.029
(SnTe)0.98(CuSbTe2)0.02,427,35.16,375837,6.235,0.032
YbCd1.2Zn0.8Sb2,550,134.95,80311,1.347,0.62
BaGd2NiO5,426,525,4.67,2.382,0
Cu0.99Pd0.01FeS2,100,-248.85,2642,23.18,0.001
Cu2Se0.92S0.08,353,116.12,77315,0.586,0.628
(Sn0.8Ge0.2)0.88Mn0.12Te,873,152,84786,1.677,1.013
In0.075Co4Sb11.975,600,-289,35000,2.1,0.7
Rb2Bi8Se12.9909Cl0.0091,330,-160,12500,0.66,0.16
EuCd2Sb2,450,286.4,8285,0.96,0.319
Cu2Se0.96I0.04,375,133.6,27140,0.245,0.741
Pb0.98Zn0.035Te,520,-253.53,33400,1.469,0.76
Ag(Bi0.8Nb0.2)0.9Sb0.1Se2,576,-147,20710,0.418,0.617
Cu2.82Ag0.18SbSe4,423,392,6490,1.08,0.4
Cu2.7Ag0.3ErTe3,400,47.8,260000,2.33,0.102
Cu3Sb0.998In0.002Se4,573,310.7,7300,1.12,0.361
Ti0.98Mn0.02NiSn0.98Sb0.02,871,-144.3,149670,5.852,0.47
Bi0.48Sb1.52Te3,400,233.31,41620,1.42,0.638
Yb13.6Ce0.363Mn0.99Sb11.05,1073,210.63,13686,0.743,0.877
Sn0.975Pb0.01Cd0.015Se,823,314,6254,0.534,0.95
Cu5.133Sn1.866S6.3Cl0.7,529,96.59,72204,1.55,0.23
ZrCoBi0.65Sb0.15Sn0.20,303,129.9,150100,2.18,0.26
Bi0.9Pb0.1CuSeO,250,80.9,97650,2.102,0.076
Eu(Zn0.5Cd0.5)2Sb2,550,236,21100,1.03,0.628
Nd3Te4,1173,-85,132787,3.12,0.361
Bi1.2Sb0.8Se2.88Cl0.12,600,-177,13700,0.67,0.384
S0.18Co3.4Ni0.58Sb11.94,850,-171,99000,1.7,0.7
La0.5Co4Sb12,373,58.5,35355,2.186,0.021
Cu2SnSe3,372,192.57,1735,2.203,0.011
Ba0.08Yb0.09Co4Sb12.12,800,-190,116000,0.6,1.4
Ti0.95Mn0.05NiSn0.95Sb0.05,498,-126.5,216600,6.05,0.285
Ba8Cu5.04Si13.01Ge27.96,517,-99.5,69600,1.864,0.191
Hf0.5Ti0.5CoSb0.8Sn0.2,305,178.8,43000,2.533,0.16
Sn0.9Pb0.09Zn0.01Se,673,563.21,630.5,0.559,0.241
Bi0.9Ag0.1CuSeO,673,317.4,2106,0.484,0.295
ZrNiSn0.98Bi0.02,771,-210,60520,6.748,0.305
Ge0.87In0.05Pb0.08Te,525,217.14,50000,1.18,1.049
Zn0.9Cd0.1Sc0.02O1.03,1073,-150,29000,3.1,0.226
CoGeTe,394,-184.6,5320,7.341,0.01
Zn0.85Cd0.15Sc0.02O1.03,300,-49.4,19430,7.58,0.002
Cu26V2Ge4Sb2S32,594,123.15,86508,1.824,0.427
K8Al8Ge38,150,-12.8,46000,0.937,0.001
Cu12Sb4S13,422,107.2,26850,0.605,0.215
Tl4SnTe3,373,124.3,23700,0.464,0.286
GeSe0.85Te0.15,630,36.69,53358,1.685,0.027
Cu2.2Se,770,196.53,35135,1.038,1.007
LiCoO2,423,1052.4,0.19,7.591,0
Cu2SnSe3,400,107.58,17545,1.384,0.059
Cu2Sn0.95Fe0.05Se3,323,55.48,115306,3.428,0.033
Bi0.95Ba0.05CuSeO,623,273,4130,0.65,0.302
Ge0.55Pb0.45Te0.4Se0.6,470,316.25,5500,0.791,0.36
Bi0.96Pb0.02Yb0.02CuSeO,343,138,27050,0.8,0.221
Cu2SnS3,323,283,132,2.38,0.001
Cu22Sn9.25Sb0.75S32,500,96.36,111801,2.15,0.241
Pb0.99Na0.01Te,301,58.75,235400,3.894,0.063
PbZn0.015Te,811,-239.4,27000,1.137,1.097
Cu2.94Ag0.06SbSe4,398,430,4923,1.54,0.235
Mg3Sb2,470,261,392,1.13,0.011
In3.99Pb0.01Se3,330,-206,10000,1.12,0.125
Ag0.97CrSe2,403,96.61,21364,0.436,0.184
K0.995Ba0.005GaSb4,649,-303.74,6490,0.52,0.747
Er0.01(Bi0.23Sb0.77)1.99Te3,400,242.89,38353,0.928,0.975
Mo3Sb7I0.75,523,31.56,511222,5.908,0.045
CsTb2Ag3Te5,616,179,473.3,0.403,0.023
AgBi0.9Sb0.1Se2,526,-211.11,7943,0.491,0.379
As2Te1.5Se1.5,523,527,50.74,0.335,0.015
Ge0.95Mn0.05Te,698,154.19,140200,2.396,0.971
Ag(Bi0.9Pb0.1)0.7Sb0.3Se2,526,408.1,915,0.618,0.13
Cu11ZnSb4S13,621,185.27,10852,0.396,0.584
As2Te2.3Se0.7,298,326.53,28.53,0.532,0.004
Cu1.85Ag0.15SnSe3,700,369.7,1867,0.349,0.512
Ag2Se1.06,309,-142.98,110600,0.907,0.793
Cu3Sb0.95Ge0.05S4,573,286.7,7333,0.865,0.415
Cu1.99S0.5Se0.5,578,153.13,10396,0.648,0.218
CuAgTe0.6Se0.4,403,239.13,7398,0.362,0.471
Yb10LaCdSb9,873,60.17,33669,1,0.106
AgBi0.95Sb0.05Se2,525,341.15,241,0.458,0.032
Cu5.133Sn1.866S7,515,42.61,313889,4.275,0.069
PbZn0.015Te,320,-248.91,57200,2.075,0.55
Sr0.16Yb0.03Co4Sb11.82,650,-175,175909,3.4,1.03
CuAgTe0.7Se0.3,303,215.49,11867,0.393,0.425
(Sn0.985In0.015Te)0.85(AgCl)0.15,423,70.51,317978,3.589,0.186
Ag0.97Cr0.99Sb0.01Se2,403,88.98,19184,0.524,0.117
Ag8Sn0.4Ga0.6Se6,671,-178.74,12046,0.304,0.849
Bi0.88Pb0.06Yb0.06CuSeO,850,212,12800,0.408,1.199
Sn0.91Mn0.09Te0.99I0.01,524,106.7,154872,3.046,0.303
Ta0.92Ti0.08FeSb,470,174.2,182600,5.465,0.479
Ag0.01Sn0.99Se0.85S0.15,322,306,1116,0.21,0.161
Cu5Sn2S6.65Cl0.35,617,92.9,94958,1.85,0.273
Cu0.995Pd0.005FeS2,100,-450.38,1000,21.36,0.001
Pb0.9825Tl0.0075Na0.01Te,696,248.04,37308,1.067,1.498
Ag(Bi0.85Nb0.15)0.9Sb0.1Se2,526,-175,12523,0.636,0.317
TiZr0.025NiSn,424,-180,40630,2.781,0.211
CoSb3.0,573,117,6250,4.5,0.011
MgAgSb0.99In0.01,350,170.36,62523,0.989,0.642
Cu5SnSbSe6.79,373,37.59,385345,4.517,0.045
Cu1.7Se,473,29.7,547297,5.416,0.042
Mg3.5Gd0.02Sb2,500,-273.94,10926,0.851,0.482
(CuI)0.003Bi2Te3,470,-169.48,84100,1.452,0.782
AgCuTe0.5Se0.5,623,155.7,2913,0.38,0.12
AgBi0.95Pb0.05Se2.12,400,340,5497,0.658,0.386
In4Pb0.01Sn0.03Se2.9Cl0.06,623,-249.5,10335,0.568,0.715
Ca2Yb9Sb10,608,10.67,117917,2.273,0.004
Cu2.05Cd0.95SnSe4,700,171,14330,0.607,0.483
Ca5Ga1.8Zn0.2Sb6,773,109.25,35700,1.262,0.261
BiCuSeO,725,318.59,2864,0.54,0.363
Al0.0075Sb0.1Ge0.8925Te,773,260.5,52048,1.457,1.908
Mg2.16(Si0.4Sn0.6)0.99Bi0.01,800,-238.8,55426,2.203,1.148
Cu2.8Sn0.2Sb0.8Se3.8,523,58.86,267516,4.25,0.114
Cu1.975S0.5Se0.5,475,103.03,14926,0.733,0.103
Eu(Zn0.7Cd0.3)2Sb2,450,187.6,44270,1.409,0.498
CuMo6Te8,400,-2.33,200346,3.661,0
CuFe0.96In0.04S2,600,-369.05,3640,1.862,0.163
(Bi0.23Sb0.77)2Te3,450,220.32,32706,1.052,0.679
Ge0.98Mn0.01Sb0.01Te,648,130,140206,2.235,0.687
Ca3.2Yb1.65Pr0.15Al2Sb6,323,46.4,2570,1.47,0.001
La0.2Ca0.8TiO3,321,-52,339247,4.273,0.069
Cu2.88Ag0.12SbSe4,473,408,6282,1.09,0.454
Ge0.55Pb0.45Te,472,84.47,48000,2.031,0.08
Cu22Sn9.25Sb0.75S32,700,127.7,73171,1.655,0.505
CoS2,66,-32.6,2500000,14.17,0.012
Bi0.96Pb0.02Yb0.02CuSeO,847,221.05,9360,0.494,0.784
Ag0.01Sn0.99Se0.8S0.2,418,362.82,868,0.17,0.281
Cu2.5Sn0.5Sb0.5Se3.5,723,74.29,211300,3.486,0.242
FeNb0.86Hf0.14Sb,1100,220,106977,4.2,1.356
(SnTe)15Sb2Te3,673,146.92,105443,2.18,0.703
Gd2Se2.94,350,-84.7,35600,2.13,0.042
Ag0.02Cr1.98Se3,405,118.14,32979,1.541,0.121
(SnTe)40Sb2Te3,523,66.47,235414,4.386,0.124
Mg1.98Ag0.02Zn0.98Sb2,573,151.4,34921,0.915,0.501
Hf0.8Ti0.2CoSb0.8Sn0.2,987,226.6,48500,2.67,0.921
Nb0.75Ta0.25CoSn0.9Sb0.1,338,-105,121986,4.603,0.099
Bi2Si2Te6,573,182,8520,0.709,0.228
Rb2Bi8Se12.9935Cl0.0065,625,-260.63,3824,0.474,0.343
Ba0.11Yb0.03Co4Sb12,400,-136.55,150000,3.278,0.341
Bi0.96Pb0.04CuSeO,100,57.73,149712,2.344,0.021
GeSe0.55Te0.45,728,121.36,121269,2.279,0.571
Al0.01Ge0.99Te,573,94.2,287500,4.263,0.343
AgBiSe2.0,418,-145,20928,0.59,0.312
Yb12CaBaMgSb11,400,84.25,29599,0.693,0.121
Mg3.5Gd0.035Sb2,300,-190.1,21413,1.19,0.195
Sn0.91Mn0.09Te0.99I0.01,891,219.07,51282,1.595,1.374
Ag2.0Se0.8Te0.2,345,-126.64,99080,0.8,0.685
Ba0.15Yb0.01Co4Sb12,400,-146.2,144000,4.04,0.319
Ag3.8Mo9Se11,547,138.5,25900,0.82,0.331
In0.015Pb0.985Te0.994I0.006,378,-201.6,30470,1.735,0.27
Mg2Zn1.04Sb2,573,95.39,3013,0.694,0.023
CoSi,320,-79.4,555190,13.694,0.082
Sb0.05Ge0.95Te,773,208.9,90826,1.945,1.61
Mg3.5Ho0.02Sb2,600,-313.64,8261,0.826,0.59
In0.005Pb0.995Te0.996I0.004,663,-203.2,28100,1.425,0.54
PbTe,821,-264.13,13026,1.31,0.57
FeNb0.88Hf0.12Sb,600,159.7,245740,5.59,0.673
Ba0.15Yb0.01Co4Sb12,300,-125.1,179700,4.35,0.194
GeSe0.65Te0.35,530,24.1,85450,1.748,0.015
As2Te3,373,47.52,585.95,0.725,0.001
SnTe0.15AgSbSe2,300,60.9,161200,2.19,0.082
GeSe0.9Te0.1,530,130.05,2245,1.223,0.016
CoSb3.0,523,25.6,4400,4.79,0
Zn0.875Cd0.125Sc0.02O1.03,773,-117.6,30100,3.58,0.088
GeSe0.75Te0.25,776,120.6,60821,1.213,0.566
Mg3.07Sb1.5Bi0.48Se0.02,700,-302.17,11567,0.632,1.17
AgSn25.0BiTe27.0,600,122,115385,2.53,0.407
Sn1.03Te,323,14.2,634211,9.176,0.005
Cu22Sn9.25Sb0.75S32,400,79.02,138462,2.45,0.141
Li1.04Co0.85Ni0.15O2,523,282,2.69,1.911,0
NbCo0.9Ni0.1Sn,382,-132.94,103529,9.262,0.075
Ag0.94CuSe,298,-88.54,196825,1.667,0.284
(Cu0.005Pb0.995Te)(MnTe)0.03,723,-147.02,89178,1.643,0.848
Bi0.42Sb1.58Te3,573,155.2,26064,1.551,0.232
Cu7PSe6,325,132.74,507.3,0.249,0.012
Cu22Sn9SbS32,600,126.45,62830,1.681,0.359
AgBi0.99Pb0.01Se2.12,350,579,173.84,0.539,0.038
Tl8.98Sb1.02Te6,326,113,42000,0.593,0.292
Cu2Se0.96I0.04,385,94,40986,0.644,0.216
Ba7.97Ga15.95Sn30.08,540,353.87,10560,1.02,0.7
Rb2Bi8Se12.974Cl0.026,724,-145.4,14338,0.703,0.312
Cu26V2Ge6S32,497,49.08,302778,3.865,0.094
Ag0.5Sb1.1Pb19.6Te18.8,523,-49.6,26110,1.474,0.023
Li1.01Co0.85Ni0.15O2,923,269,154.14,0.956,0.011
CrSe3,405,124.7,32900,1.771,0.117
Sn1.03Se0.12Te0.875Br0.005,423,34.74,390351,4.195,0.048
Mg2Sn0.98Sb0.02,646,-141.38,229200,4.674,0.633
Bi2.0S3.0,723,-501,346,0.44,0.143
Ba0.05Yb0.09Co4Sb12,400,-186,100000,2.75,0.51
Cu2CdSnSe4,600,275,3450,1.25,0.125
Cu1.7Se,374,20.3,763514,5.963,0.02
NbCo0.92Ni0.08Sn,804,-129.71,98810,6.238,0.214
Ba0.19In0.07Co4Sb11.85,850,-199,93500,1.2,1.1
Ca3.46Yb1.35Pr0.19Al2Sb6,723,-111.79,1604,1.295,0.011
K8Al8Ge38,50,-2.8,49139,0.708,0
YbCd1.1Zn0.9Sb2,350,86.3,135370,1.707,0.192
Tl8.99Bi1.01Te6.0,499,307,4300,0.322,0.628
Cu2Se0.7S0.3,769,145.54,42000,0.744,0.92
As2Te3,473,36.63,1154.78,0.672,0.001
Eu2Zn0.98Sb2,473,197,13470,0.46,0.538
Cu1.975S0.5Se0.5,300,99.39,15891,0.502,0.094
Ca0.25BaGd1.75NiO5,1179,175.74,480.92,1.278,0.014
CsSm2Ag3Te5,616,197.69,358.52,0.463,0.019
Zn0.9Cd0.1Sc0.04O1.06,873,-141.4,28125,3.56,0.138
SnTe0.25AgSbSe2,650,139.2,73100,1.59,0.579
NbCo0.94Ni0.06Sn,697,-85.59,128372,7.202,0.091
Bi2Te3,398,-147.44,98421,0.842,1.012
Tl9.0Bi0.96Te6.0,325,148.4,36000,0.65,0.396
Cu3Sb0.997In0.003Se4,623,286,8950,1.01,0.452
Dy0.02Co4Sb12,300,-268,25800,5.2,0.1
In4Se2.67Cl0.03,473,-151.2,50000,0.683,0.792
ZrNiPb0.985Bi0.015,771,-158,171250,7.114,0.465
Ta0.96Ti0.04FeSb,970,299,36100,3.845,0.814
Yb11Ca2BaMgSb11,800,170,15160,0.672,0.522
CuGa0.99Mn0.01Te2,818,232.6,27900,1.752,0.707
CsSm2Ag3Te5,539,189.35,188.24,0.483,0.008
Ba8Cu5Si25Ge16,809,-112,65700,2.05,0.324
Li1.04Co0.85Ni0.15O2,823,297,87.02,1.332,0.005
La0.15Ca0.85TiO3,640,-126,48925,3.21,0.155
Sn0.91Mn0.09Te0.97I0.03,891,215.46,44615,1.553,1.188
Ca0.25BaGd1.75NiO5,486,212.5,72.46,1.274,0.001
Cu3P0.9Ge0.1S4,500,177,7940,0.675,0.184
Ag0.8Sb0.8Pb18.3Te20.0,473,-315,6900,0.81,0.38
Sn1.03Se0.12Te0.88,723,135,85088,2.296,0.488
Tl0.7Co4Sn0.75Sb11.25,200,-40.88,46544,2.29,0.007
Bi0.84Pb0.08Yb0.08CuSeO,347,89.14,27429,0.728,0.104
Ba8Cu5Si25Ge16,415,-66.2,107000,1.88,0.104
Bi0.8Pb0.1Yb0.1CuSeO,744,158.5,10213,0.51,0.374
LiCo0.85Ni0.15O2,823,406.85,96.11,1.477,0.009
Gd2.75Se4,350,-93.12,7107,0.879,0.025
(Hf0.3Zr0.7)0.88Nb0.12 CoSb,1123,-228.2,45100,2.22,0.85
(Cu0.003Pb0.997Te)(MnTe)0.03,623,-151.4,90822,1.669,0.777
Se0.3Co4Sb11.4Se0.6,750,-233,21400,1.9,0.4
Bi2Si2Te6,673,153,7454,0.679,0.173
(PbTe)0.1(Ag2Te)0.9,350,-95,127450,0.784,0.515
Ba0.15In0.20Co4Sb11.84,850,-198,97700,1.1,1.2
Ce0.2Bi1.8Te3,423,-150.18,72257,0.539,1.28
Ba0.98K0.02Zn2As2,623,130,62745,1.851,0.357
NbCo0.98Ni0.02Sn,387,-127.65,84286,10.548,0.05
Zn0.85Cd0.15Sc0.02O1.03,1073,-128,13800,3.25,0.075
Yb13.43Ce0.44Mn1.07Sb11.07,973,217.7,13700,0.619,1.021
Ag3.4Mo9Se11,447,87,48800,1.225,0.135
Tl9.0Bi0.95Te6.0,443,182.2,24460,0.52,0.692
Ge0.55Sb0.25Te0.8(AgSnSe2)0.2,323,167.7,34839,0.757,0.427
Sn0.91Mn0.09Te0.97I0.03,622,138.66,104615,2.409,0.519
Mg3.5Gd0.045Sb2,400,-213.93,22244,1.045,0.39
AgSn25.0BiTe27.0,400,66,200000,3.19,0.109
Zn0.9Cd0.1Sc0.006O1.009,773,-122,36700,4.23,0.1
Ag0.9Sb0.9Pb18.3Te19.9,523,-296,8625,0.858,0.461
Hf0.9Ti0.1CoSb0.8Sn0.2,305,141.1,81000,3.45,0.142
Gd2.79Se4,450,-86.2,19360,1.283,0.05
Sb0.05Ge0.95Te,323,66.67,319444,3.691,0.124
GeSe0.65Te0.35,776,123.05,86194,1.607,0.63
Al0.0075Sb0.1Ge0.8925Te,473,205.7,43534,1.42,0.638
AgBi0.98Pb0.02Se2.12,400,453.95,1477,0.57,0.214
SnTe0.1AgSbSe2,750,140.3,84900,1.881,0.669
Ag3.8Mo9Se11,743,171.5,20400,0.784,0.569
Rb7.88Au2.47Ge43.53,250,-11.14,471,1.879,0
Se0.1Co4Sb11.8Se0.2,600,-328,9600,2.3,0.3
Cu5SnSbSe7,373,34.25,457391,5.034,0.04
Ca0.05BaGd1.95NiO5,839,230.88,82.07,1.496,0.002
Ca3Co2O6,973,149,11111,3.17,0.076
Cu2.1Cd0.9SnSe4,650,151.3,20100,0.598,0.5
